@relation train
@attribute Class integer
@attribute C2 real
@attribute C3 real
@attribute C4 real
@attribute C5 real
@attribute C6 real
@attribute C7 real
@attribute C8 real
@attribute C9 real
@attribute C10 real
@attribute C11 real
@attribute C12 real
@attribute C13 real
@attribute C14 real
@attribute C18 real
@attribute C19 real
@attribute C20 real
@attribute C23 real
@attribute C24 real
@attribute C25 real
@attribute C26 real
@attribute C31 real
@attribute C32 real
@data
0,0.0,2.0,3.0,3.0,-0.9399881324279414,2.0,-0.26812731744855595,1.0,1.0,0.0,1.0,-1.2896294760925282,2.0,1.0,4.0,1.379623276345312,2.0,0.0,0.0,-0.45996803401940417,0.0,2.0
0,0.0,0.0,0.0,3.0,-0.7723160842295177,0.0,-0.8800514202401881,3.0,2.0,0.0,1.0,-1.1031074346326473,2.0,1.0,2.0,-0.878889712774619,1.0,0.0,3.0,-0.6935188314533308,1.0,1.0
1,0.0,1.0,0.0,0.0,-0.7723160842295177,1.0,-0.9116300723337929,3.0,2.0,0.0,1.0,-0.07264959902641954,2.0,1.0,3.0,-1.4000850179561415,1.0,0.0,4.0,-0.14966345339122936,0.0,3.0
1,1.0,2.0,3.0,1.0,-0.9399881324279414,0.0,0.651513206299648,1.0,3.0,0.0,1.0,-0.8860080093268842,0.0,0.0,4.0,3.290672728677561,2.0,0.0,1.0,-0.8084833725148454,1.0,1.0
0,0.0,1.0,3.0,3.0,-0.7723160842295177,4.0,0.8876513491773823,1.0,2.0,0.0,1.0,-0.7586022433023754,2.0,3.0,4.0,1.1190256237545506,0.0,0.0,3.0,0.45044480560068256,1.0,2.0
1,0.0,0.0,1.0,0.0,-0.2692999396342463,0.0,-0.02883130936146127,1.0,2.0,0.0,1.0,0.6724193206849084,2.0,1.0,2.0,-1.0526214811684598,1.0,0.0,4.0,-0.3428105277237682,0.0,1.0
0,1.0,1.0,3.0,3.0,0.23371620496102505,4.0,1.2529110917267452,1.0,3.0,0.0,1.0,2.087132946621055,2.0,3.0,2.0,0.8584279711637894,1.0,1.0,1.0,-0.9587679445441027,1.0,2.0
1,0.0,3.0,1.0,1.0,-0.1854639155350344,0.0,-0.7112810684954776,3.0,2.0,0.0,1.0,-2.3863383100315008,2.0,3.0,2.0,-0.2708285233961761,1.0,0.0,4.0,-1.019838703639786,0.0,3.0
1,0.0,0.0,0.0,3.0,0.8205683736555083,4.0,1.4785230172399444,3.0,3.0,0.0,1.0,-0.5119446802789261,0.0,0.0,0.0,1.4664891605422323,1.0,0.0,1.0,-0.6606243529415101,1.0,1.0
0,0.0,3.0,1.0,3.0,-1.0238241565271533,0.0,-0.6397027904166399,2.0,2.0,0.0,1.0,-0.5975613550473962,2.0,1.0,3.0,-0.7051579443807782,1.0,1.0,9.0,-0.7840617142257664,0.0,1.0
0,0.0,1.0,0.0,2.0,-0.1854639155350344,0.0,-0.0779536570626244,0.0,1.0,0.0,1.0,-0.8156800264813553,1.0,1.0,1.0,0.8584279711637894,1.0,0.0,3.0,-0.8343670076266719,0.0,1.0
0,0.0,3.0,2.0,1.0,-0.3531359637334582,0.0,-0.7358422423460592,1.0,0.0,0.0,1.0,1.5051434074210983,2.0,3.0,0.0,2.7694774234960384,2.0,2.0,0.0,0.517728966193043,1.0,2.0
1,0.0,0.0,3.0,0.0,0.31755222906023695,0.0,-0.013041983314658837,3.0,1.0,0.0,1.0,-0.3447883152547705,2.0,1.0,1.0,-1.1394873653653803,0.0,0.0,3.0,-0.9586682643061882,1.0,1.0
0,0.0,0.0,3.0,3.0,1.3235845182507797,4.0,0.19783323788819146,1.0,1.0,0.0,1.0,1.9474962270581933,2.0,1.0,4.0,0.771562086966869,1.0,0.0,4.0,-0.3155313692811371,1.0,1.0
0,0.0,1.0,0.0,3.0,-1.275332228824789,1.0,-0.7137371858805358,0.0,2.0,0.0,1.0,0.638784198454438,2.0,3.0,2.0,-0.7051579443807782,1.0,1.0,4.0,1.189141822039871,0.0,1.0
0,0.0,0.0,3.0,1.0,-0.6884800601303057,0.0,-0.8382974246941994,3.0,2.0,2.0,1.0,-0.28261430143481014,2.0,3.0,1.0,-1.0526214811684598,1.0,1.0,4.0,1.6793027786119703,0.0,2.0
0,0.0,0.0,1.0,3.0,-0.6884800601303057,0.0,-0.8754900593822229,3.0,2.0,0.0,1.0,-1.370149920220018,2.0,1.0,2.0,-0.6182920601838577,1.0,0.0,4.0,2.5433310808557925,0.0,3.0
1,0.0,3.0,2.0,0.0,-0.1854639155350344,0.0,-0.7211055380357102,3.0,2.0,0.0,1.0,0.20662384009930393,2.0,1.0,1.0,-1.0526214811684598,0.0,0.0,0.0,-0.47036800550849495,1.0,1.0
0,0.0,1.0,3.0,2.0,0.8205683736555083,4.0,0.13467593370098171,3.0,1.0,0.0,1.0,1.6641458034196854,1.0,3.0,4.0,1.1190256237545506,1.0,1.0,4.0,2.4584699716444898,0.0,2.0
1,0.0,3.0,1.0,1.0,0.7367323495562964,0.0,0.3427441636066227,3.0,3.0,0.0,1.0,-0.13278512058998773,2.0,3.0,0.0,-0.6182920601838577,1.0,1.0,0.0,1.4328932304870594,0.0,3.0
0,1.0,3.0,2.0,3.0,-0.7723160842295177,0.0,-0.6239134643698375,3.0,2.0,0.0,1.0,0.9088844224263969,2.0,1.0,1.0,-0.18396263919925565,1.0,0.0,4.0,-0.671090777922544,0.0,1.0
0,0.0,3.0,2.0,1.0,0.23371620496102505,1.0,0.08450096426336509,1.0,2.0,0.0,1.0,0.982270143656514,0.0,1.0,3.0,0.163500897588426,1.0,1.0,0.0,-0.5025647223549133,1.0,2.0
0,0.0,1.0,0.0,2.0,-1.275332228824789,0.0,-0.9081213332122813,1.0,2.0,0.0,1.0,0.18012344076620607,0.0,2.0,1.0,-0.5314261759869373,1.0,0.0,4.0,2.0613106770467198,0.0,1.0
0,0.0,0.0,0.0,1.0,-0.6884800601303057,0.0,0.105553398992435,0.0,1.0,0.0,1.0,0.2565669003809114,2.0,3.0,2.0,-1.1394873653653803,1.0,0.0,4.0,1.3851131697799905,0.0,1.0
0,0.0,3.0,3.0,3.0,1.5750925905484152,2.0,-0.24672400880733486,3.0,2.0,0.0,1.0,-0.22145953374304592,2.0,1.0,2.0,-0.9657555969715395,1.0,0.0,1.0,-0.9368715189488606,0.0,2.0
0,0.0,1.0,2.0,0.0,-1.275332228824789,4.0,-0.6660183338279773,3.0,3.0,0.0,1.0,-0.6301772311496704,2.0,1.0,0.0,3.464404497071402,1.0,0.0,0.0,0.1283115034066409,1.0,1.0
1,0.0,3.0,3.0,3.0,0.23371620496102505,1.0,0.12239534677569093,1.0,2.0,0.0,1.0,-0.47932880417665186,2.0,1.0,4.0,-0.3576944075930965,1.0,1.0,4.0,-0.4483386729293666,0.0,2.0
0,0.0,3.0,3.0,3.0,0.7367323495562964,4.0,1.5174700214887238,0.0,2.0,0.0,1.0,0.8334602089398876,2.0,3.0,4.0,2.3351480025114366,1.0,1.0,1.0,-0.009114317931632039,0.0,2.0
0,0.0,1.0,1.0,3.0,0.23371620496102505,0.0,-0.43619592136896407,1.0,1.0,0.0,1.0,0.45633914150734134,2.0,3.0,3.0,-0.5314261759869373,1.0,1.0,3.0,-1.091674928430247,0.0,2.0
0,1.0,3.0,3.0,1.0,-0.2692999396342463,4.0,-0.13093561779745036,3.0,2.0,0.0,1.0,0.0629101360236579,2.0,2.0,4.0,0.5978303185730282,1.0,0.0,0.0,3.4898946200929104,0.0,2.0
0,0.0,0.0,1.0,0.0,0.8205683736555083,0.0,0.45993605026511186,1.0,2.0,2.0,1.0,-1.687135466088996,2.0,4.0,2.0,-0.3576944075930965,1.0,1.0,3.0,-0.8452321535593642,0.0,0.0
0,0.0,2.0,1.0,3.0,-1.275332228824789,0.0,-0.6084750122351862,0.0,2.0,0.0,1.0,-0.8350457029170807,2.0,1.0,1.0,1.813952697329914,1.0,0.0,7.0,0.4977596918641498,0.0,1.0
0,0.0,3.0,0.0,1.0,-0.6884800601303057,0.0,-0.5982996687828024,0.0,2.0,0.0,1.0,0.021121044767618995,2.0,1.0,2.0,-1.2263532495623006,1.0,0.0,4.0,0.10987065939243842,1.0,1.0
0,0.0,1.0,3.0,0.0,-0.6884800601303057,4.0,-0.7270703945422801,3.0,2.0,0.0,1.0,-0.11240019802606631,0.0,1.0,2.0,-1.1394873653653803,0.0,0.0,7.0,-0.8074865701356994,1.0,1.0
0,0.0,0.0,3.0,2.0,-0.6884800601303057,0.0,-0.6926847511514659,2.0,2.0,0.0,1.0,0.022140290895815064,2.0,1.0,2.0,-1.0526214811684598,0.0,0.0,4.0,-0.5681543189027254,0.0,3.0
0,0.0,0.0,3.0,3.0,-0.8561521083287296,1.0,-0.7432105945012336,3.0,1.0,0.0,1.0,0.0017553683318936454,2.0,3.0,0.0,1.813952697329914,1.0,2.0,4.0,0.9166825050732759,0.0,1.0
0,0.0,3.0,1.0,1.0,-0.017791867336610624,3.0,-0.1849702002687298,2.0,2.0,0.0,1.0,-2.14783471603362,2.0,3.0,3.0,-0.2708285233961761,1.0,1.0,3.0,0.7876630504658015,1.0,2.0
1,0.0,0.0,3.0,1.0,0.23371620496102505,0.0,0.3399371723094134,0.0,1.0,0.0,1.0,0.38091492802083204,2.0,4.0,2.0,0.07663501339150561,1.0,2.0,9.0,4.311293007255252,1.0,2.0
1,0.0,3.0,0.0,2.0,0.06604415676260127,0.0,-0.334091612932975,1.0,2.0,0.0,1.0,0.06494862828005005,2.0,3.0,1.0,-0.18396263919925565,0.0,0.0,7.0,0.10163042639149748,0.0,0.0
1,0.0,2.0,3.0,1.0,2.2457807833421106,0.0,1.036071014017325,3.0,2.0,0.0,1.0,0.2871442842267935,2.0,2.0,4.0,1.2058915079514712,2.0,0.0,7.0,1.0142694579916771,0.0,2.0
0,0.0,0.0,2.0,3.0,0.31755222906023695,0.0,-0.23198730449698593,3.0,2.0,1.0,1.0,1.8098979997517235,2.0,3.0,4.0,0.8584279711637894,1.0,1.0,4.0,-0.5570565857482324,0.0,3.0
1,0.0,3.0,1.0,0.0,0.23371620496102505,0.0,-0.565668394952744,3.0,1.0,0.0,1.0,0.41353080412310633,2.0,2.0,1.0,-0.6182920601838577,0.0,0.0,4.0,-1.2273397322320283,1.0,1.0
1,0.0,3.0,3.0,1.0,1.2397484941515677,0.0,2.1497448111851236,0.0,3.0,0.0,1.0,0.637764952326242,2.0,1.0,1.0,-0.6182920601838577,0.0,0.0,1.0,0.014875392659816963,1.0,3.0
1,0.0,2.0,3.0,1.0,3.251813072532653,1.0,4.038499080294846,2.0,3.0,0.0,1.0,0.05679465925448148,0.0,0.0,4.0,2.1614162341175955,2.0,1.0,2.0,-1.17524019454866,1.0,1.0
0,0.0,3.0,1.0,3.0,1.3235845182507797,0.0,2.2086916284265192,1.0,2.0,0.0,1.0,-0.6566776304827682,1.0,3.0,2.0,-0.44456029179001694,1.0,1.0,4.0,-0.24751622027740292,0.0,1.0
0,0.0,3.0,1.0,1.0,0.23371620496102505,1.0,0.21292081611069155,3.0,2.0,0.0,1.0,-1.5536142232953107,2.0,3.0,1.0,0.07663501339150561,1.0,0.0,0.0,-0.10258115434956284,1.0,0.0
0,0.0,3.0,3.0,1.0,-0.2692999396342463,0.0,0.21081557263778458,1.0,2.0,0.0,1.0,0.05679465925448148,2.0,1.0,0.0,2.7694774234960384,1.0,0.0,6.0,-0.2783838672849599,1.0,1.0
0,0.0,1.0,2.0,3.0,-0.520808011931882,2.0,-0.7049653380767567,3.0,2.0,0.0,1.0,0.8915572382470637,2.0,1.0,3.0,-0.01023087080541482,1.0,1.0,5.0,-0.6661732195187566,1.0,2.0
0,0.0,3.0,3.0,0.0,0.8205683736555083,1.0,1.023088679267732,0.0,2.0,0.0,1.0,-0.4599631277409265,2.0,3.0,3.0,-1.0526214811684598,0.0,1.0,1.0,-0.5554284751956271,0.0,3.0
0,0.0,0.0,3.0,3.0,1.826600662846051,2.0,0.27046413770348265,3.0,2.0,0.0,1.0,-0.9746824224799424,2.0,3.0,2.0,-0.01023087080541482,1.0,1.0,3.0,-0.8522097702133868,1.0,2.0
0,1.0,2.0,3.0,3.0,-1.275332228824789,1.0,-0.6758428033682099,1.0,2.0,0.0,1.0,-0.43040499002324045,0.0,1.0,4.0,0.5978303185730282,2.0,0.0,4.0,-0.13135551636091303,1.0,2.0
0,0.0,0.0,3.0,0.0,-1.275332228824789,4.0,-0.737596611906815,3.0,2.0,0.0,1.0,-0.5730994479706903,2.0,3.0,4.0,2.6826115392991183,1.0,1.0,4.0,0.03447917278302321,1.0,2.0
0,0.0,0.0,3.0,0.0,0.23371620496102505,4.0,-0.16146164815460173,1.0,2.0,0.0,1.0,-1.0337986979153144,2.0,1.0,4.0,-0.7920238285776986,0.0,0.0,1.0,-0.8193152917015661,0.0,1.0
0,1.0,0.0,3.0,0.0,-1.0238241565271533,1.0,-0.6958426163608263,2.0,2.0,2.0,0.0,1.631529927317411,2.0,3.0,4.0,1.0321597395576303,1.0,1.0,6.0,-0.08041891478654832,0.0,2.0
0,0.0,1.0,3.0,0.0,-0.6884800601303057,0.0,-0.9189984244889674,3.0,2.0,0.0,1.0,0.45531989537914525,2.0,1.0,4.0,-1.0526214811684598,0.0,0.0,3.0,-0.6300225199017255,0.0,1.0
0,0.0,3.0,1.0,1.0,-0.7723160842295177,0.0,0.9844925489311038,1.0,2.0,0.0,1.0,0.3238371448418521,2.0,1.0,3.0,-0.3576944075930965,1.0,0.0,0.0,-0.6451406893187743,0.0,2.0
0,0.0,3.0,0.0,1.0,-1.0238241565271533,4.0,-0.43549417354466174,1.0,2.0,0.0,1.0,-0.6413889385598271,2.0,1.0,3.0,-1.0526214811684598,1.0,0.0,3.0,1.785462231991028,1.0,2.0
1,0.0,1.0,3.0,0.0,-0.9399881324279414,0.0,-0.6688253251251867,2.0,2.0,0.0,1.0,1.039347926835494,2.0,1.0,1.0,-1.2263532495623006,0.0,0.0,4.0,-1.0303383553667913,0.0,1.0
0,0.0,0.0,3.0,3.0,-0.9399881324279414,0.0,-0.7144389337048381,0.0,2.0,0.0,1.0,-0.3774041913570448,2.0,1.0,1.0,-1.1394873653653803,0.0,0.0,5.0,-0.7131558383225086,1.0,1.0
1,0.0,0.0,1.0,1.0,0.31755222906023695,0.0,-0.7105793206711752,3.0,1.0,0.0,1.0,-0.22451727212763412,1.0,1.0,1.0,-1.0526214811684598,1.0,0.0,0.0,0.9267834358486228,0.0,2.0
0,0.0,3.0,1.0,3.0,-1.275332228824789,2.0,-0.4179504779371035,0.0,2.0,0.0,1.0,0.9476157752978476,2.0,3.0,2.0,-1.0526214811684598,1.0,0.0,0.0,-0.10274728807942052,0.0,3.0
1,0.0,2.0,3.0,1.0,3.251813072532653,0.0,1.0581760704828485,3.0,2.0,0.0,1.0,-0.10118849061590952,2.0,1.0,2.0,0.5978303185730282,2.0,0.0,7.0,0.3164413390974778,0.0,2.0
0,0.0,0.0,0.0,1.0,-1.0238241565271533,0.0,-0.6597026034092563,1.0,2.0,0.0,1.0,0.9323270833749064,0.0,1.0,2.0,-0.7051579443807782,1.0,0.0,9.0,-0.4898721053937866,1.0,3.0
1,0.0,3.0,3.0,1.0,1.2397484941515677,1.0,1.6890473645306436,1.0,3.0,0.0,1.0,-0.39575062166457403,2.0,2.0,4.0,0.5109644343761077,1.0,3.0,0.0,0.12189874143413446,1.0,2.0
1,1.0,3.0,3.0,1.0,-0.6884800601303057,0.0,-0.8361921812212925,3.0,1.0,0.0,1.0,-0.998125083428452,0.0,1.0,4.0,0.4240985501791873,1.0,0.0,0.0,3.716168760159071,0.0,2.0
0,0.0,0.0,1.0,3.0,0.31755222906023695,0.0,-0.7095266989347218,3.0,2.0,0.0,1.0,-0.9471627770186485,2.0,1.0,1.0,-0.7051579443807782,1.0,0.0,0.0,-1.21461388852493,0.0,3.0
1,0.0,1.0,0.0,1.0,-1.275332228824789,1.0,-0.8211046029987923,0.0,1.0,0.0,1.0,0.18725816366357856,1.0,0.0,1.0,-0.3576944075930965,1.0,0.0,0.0,-1.032863588060628,0.0,1.0
0,0.0,0.0,3.0,1.0,-0.6884800601303057,1.0,-0.78426284222292,2.0,1.0,0.0,1.0,-0.3845389142544173,2.0,1.0,3.0,0.33723266598226687,1.0,0.0,9.0,-0.5607447545510729,0.0,2.0
0,0.0,1.0,3.0,3.0,0.23371620496102505,4.0,0.2701132637913315,2.0,2.0,0.0,1.0,0.6143222913777323,2.0,3.0,3.0,0.6846962027699486,1.0,1.0,1.0,-0.0371244647856369,1.0,2.0
0,0.0,3.0,1.0,0.0,0.31755222906023695,0.0,1.1564207658851748,1.0,1.0,0.0,1.0,-0.22553651825583018,1.0,1.0,2.0,-1.3132191337592212,1.0,0.0,9.0,-0.8163248845641279,0.0,3.0
0,0.0,0.0,2.0,3.0,-0.1854639155350344,3.0,-0.7446140901498383,3.0,2.0,0.0,1.0,0.06494862828005005,2.0,3.0,2.0,0.8584279711637894,1.0,1.0,4.0,0.35488468418654495,0.0,2.0
1,0.0,3.0,1.0,0.0,2.2457807833421106,0.0,1.2234376831060474,2.0,2.0,0.0,1.0,0.04965993635710898,2.0,1.0,2.0,-0.3576944075930965,1.0,0.0,4.0,-0.18617964721394745,1.0,1.0
0,0.0,3.0,1.0,3.0,-0.2692999396342463,0.0,-0.30461820431227715,1.0,2.0,0.0,1.0,1.3165828737048253,2.0,3.0,2.0,-0.878889712774619,1.0,1.0,4.0,-0.2107674392328841,0.0,1.0
0,0.0,0.0,3.0,1.0,-0.6884800601303057,0.0,-0.7649647770546059,3.0,2.0,2.0,1.0,-0.7127361675335522,2.0,1.0,2.0,1.2058915079514712,1.0,1.0,4.0,-0.23582040569542226,1.0,1.0
1,0.0,3.0,3.0,1.0,0.31755222906023695,0.0,2.9079833353437916,0.0,3.0,0.0,1.0,-0.7371980746102579,2.0,1.0,2.0,-1.0526214811684598,0.0,1.0,1.0,-0.12288269613817135,0.0,1.0
0,0.0,0.0,1.0,2.0,0.31755222906023695,0.0,-0.4723359343205341,1.0,2.0,0.0,1.0,0.6866887664796534,2.0,1.0,2.0,-0.878889712774619,1.0,0.0,3.0,-0.341248870663106,0.0,2.0
1,1.0,2.0,3.0,1.0,0.31755222906023695,1.0,-0.7214564119478614,3.0,2.0,0.0,1.0,-0.7168131520463364,0.0,3.0,1.0,0.163500897588426,1.0,1.0,4.0,1.1035164976712228,0.0,2.0
0,0.0,0.0,0.0,1.0,-0.6884800601303057,0.0,-0.12005852652076422,1.0,2.0,0.0,1.0,0.0700448589210304,2.0,1.0,3.0,-0.7920238285776986,1.0,0.0,4.0,-0.9056051509896451,0.0,1.0
0,0.0,1.0,0.0,0.0,-0.520808011931882,0.0,-0.5004058472926273,3.0,2.0,2.0,1.0,0.4981282327633802,2.0,1.0,2.0,0.8584279711637894,0.0,0.0,3.0,1.0989312067271508,0.0,1.0
1,0.0,3.0,2.0,1.0,0.31755222906023695,0.0,2.826580587724721,1.0,3.0,1.0,1.0,0.9476157752978476,0.0,1.0,2.0,-0.6182920601838577,1.0,1.0,2.0,-0.8339682866750135,1.0,2.0
0,1.0,0.0,2.0,3.0,-0.7723160842295177,2.0,0.06169415997353935,3.0,1.0,0.0,1.0,0.9099036685545929,2.0,0.0,2.0,-0.09709675500233524,1.0,0.0,8.0,-0.13554208635332657,0.0,1.0
0,0.0,2.0,1.0,3.0,1.3235845182507797,0.0,0.4960760632166819,1.0,3.0,0.0,1.0,-0.3682309762032801,2.0,1.0,2.0,-0.3576944075930965,2.0,0.0,1.0,0.36584951035715185,1.0,2.0
0,0.0,3.0,3.0,3.0,-0.7723160842295177,0.0,-0.6070715165865815,1.0,2.0,0.0,1.0,-0.8921234860960606,2.0,1.0,3.0,-0.01023087080541482,1.0,0.0,9.0,-0.8344002343726435,1.0,2.0
0,0.0,1.0,0.0,3.0,-0.2692999396342463,4.0,0.03713298612295779,1.0,2.0,0.0,1.0,-0.1236119054362231,2.0,1.0,2.0,-0.3576944075930965,1.0,0.0,1.0,-0.5135960020174632,1.0,2.0
0,0.0,3.0,0.0,2.0,-0.6884800601303057,0.0,-0.08953249616361285,2.0,2.0,0.0,1.0,0.02621727540859935,2.0,1.0,2.0,-0.9657555969715395,1.0,0.0,4.0,0.27238267393922105,0.0,3.0
0,0.0,0.0,1.0,3.0,-0.4369719878326701,4.0,-0.6614569729700122,3.0,2.0,0.0,1.0,-1.0185100059923735,2.0,1.0,2.0,0.33723266598226687,0.0,0.0,4.0,-0.2655915700859185,1.0,3.0
0,1.0,0.0,3.0,0.0,-1.191496204725577,0.0,-0.6705796946859425,1.0,1.0,0.0,0.0,0.7427473035304373,2.0,3.0,1.0,0.4240985501791873,1.0,0.0,0.0,-0.4645200982175046,0.0,2.0
0,0.0,3.0,1.0,3.0,0.23371620496102505,4.0,-0.05865559189431031,3.0,2.0,0.0,1.0,-2.766517115848635,2.0,1.0,1.0,-0.9657555969715395,1.0,1.0,4.0,-0.653547056049573,0.0,2.0
0,0.0,0.0,2.0,3.0,-0.9399881324279414,0.0,-0.3947927997351266,0.0,2.0,0.0,1.0,-0.26834485564006516,2.0,3.0,1.0,-1.1394873653653803,0.0,1.0,3.0,2.5363866909477415,0.0,1.0
0,1.0,1.0,2.0,1.0,1.2397484941515677,1.0,2.310795936862508,0.0,1.0,0.0,1.0,1.1606382160908264,2.0,2.0,3.0,-0.3576944075930965,1.0,1.0,9.0,-0.058057314747704585,1.0,2.0
0,0.0,0.0,3.0,3.0,-1.3591682529240008,0.0,0.06169415997353935,0.0,1.0,0.0,1.0,-1.5322100546031932,2.0,1.0,3.0,3.3775386128744818,1.0,0.0,9.0,-0.4365431781094713,0.0,2.0
0,1.0,1.0,1.0,0.0,1.2397484941515677,0.0,0.12239534677569093,0.0,2.0,2.0,1.0,-0.1297273822053995,2.0,1.0,2.0,0.163500897588426,1.0,0.0,3.0,-0.904043493928983,0.0,2.0
0,0.0,1.0,1.0,1.0,-0.2692999396342463,3.0,-0.46707282563826663,3.0,1.0,0.0,1.0,0.38499191253361636,2.0,1.0,2.0,-0.09709675500233524,1.0,0.0,9.0,-1.0845976315383097,1.0,2.0
0,0.0,2.0,0.0,3.0,-1.191496204725577,1.0,-0.7256668988936754,3.0,2.0,0.0,0.0,0.26879785391926425,0.0,4.0,2.0,-0.01023087080541482,0.0,0.0,0.0,-0.012204405306984887,0.0,2.0
1,1.0,2.0,3.0,1.0,2.3296168074413224,1.0,0.20064022918540078,3.0,1.0,0.0,1.0,0.022140290895815064,2.0,4.0,3.0,-0.18396263919925565,2.0,0.0,9.0,0.2761372962340046,0.0,2.0
1,0.0,3.0,3.0,1.0,0.23371620496102505,0.0,-0.6726849381588494,2.0,1.0,0.0,1.0,-0.8931427322242567,2.0,1.0,1.0,-0.9657555969715395,1.0,0.0,0.0,-0.12657086494101183,1.0,1.0
0,0.0,0.0,2.0,0.0,-0.7723160842295177,0.0,-0.6533868729905353,3.0,2.0,0.0,1.0,0.4145500502513024,2.0,3.0,4.0,1.5533550447391526,1.0,0.0,1.0,-0.65304865486,0.0,2.0
0,0.0,3.0,1.0,0.0,-0.017791867336610624,3.0,0.02976463396778332,3.0,2.0,0.0,1.0,-0.09405376771853703,0.0,1.0,1.0,-0.6182920601838577,1.0,0.0,4.0,-0.02549510369559929,0.0,1.0
0,0.0,0.0,2.0,0.0,-0.7723160842295177,0.0,-0.7382983597311173,3.0,1.0,0.0,1.0,-0.6770625530466896,2.0,1.0,2.0,-0.7920238285776986,1.0,0.0,0.0,-0.9180984074749428,0.0,3.0
0,0.0,0.0,3.0,2.0,0.23371620496102505,3.0,-0.7004039772187914,1.0,2.0,0.0,1.0,-0.016591061975635632,2.0,3.0,2.0,0.07663501339150561,1.0,1.0,9.0,0.7216082794743879,1.0,0.0
0,0.0,3.0,3.0,3.0,-0.6884800601303057,4.0,-0.2898815000019282,1.0,2.0,0.0,1.0,-0.0247450310012042,2.0,1.0,1.0,-0.7920238285776986,0.0,0.0,1.0,-1.0995164404795292,1.0,3.0
0,0.0,3.0,1.0,1.0,0.5690603013578727,0.0,0.9451946707701734,0.0,3.0,0.0,1.0,0.9516927598106318,2.0,2.0,4.0,-0.44456029179001694,1.0,1.0,1.0,2.0169861979206907,1.0,2.0
0,1.0,2.0,3.0,0.0,1.3235845182507797,0.0,0.7795821842348234,1.0,2.0,0.0,1.0,0.6724193206849084,2.0,1.0,4.0,0.5978303185730282,2.0,0.0,1.0,-1.0228291107772243,0.0,2.0
0,0.0,0.0,1.0,1.0,-0.6884800601303057,4.0,1.4739616563819793,0.0,0.0,0.0,1.0,-0.7484097820204146,2.0,1.0,0.0,-1.0526214811684598,0.0,0.0,0.0,0.3106598852984305,0.0,1.0
0,1.0,0.0,1.0,2.0,-1.3591682529240008,4.0,-0.6235625904576862,0.0,1.0,0.0,0.0,-0.4273472516386522,2.0,1.0,1.0,-0.6182920601838577,1.0,0.0,0.0,0.3965510236348511,0.0,2.0
